State,State ANSI,County,County ANSI,Zip Code,Data Item,Value
GEORGIA,13,SCREVEN,251,,"SORGHUM - SALES, MEASURED IN $","74,000"
GEORGIA,13,CLARKE,59,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,CLARKE,59,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,FULTON,121,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,FULTON,121,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,HALL,139,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,HALL,139,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,OCONEE,219,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,OCONEE,219,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,WALTON,297,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,WALTON,297,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,BANKS,11,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,BANKS,11,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,HART,147,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,HART,147,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,MADISON,195,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,MADISON,195,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,OGLETHORPE,221,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,OGLETHORPE,221,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,WILKES,317,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,WILKES,317,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,ATKINSON,3,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,ATKINSON,3,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,BERRIEN,19,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,BERRIEN,19,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,BROOKS,27,,SORGHUM - OPERATIONS WITH SALES,4
GEORGIA,13,BROOKS,27,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,CRISP,81,,SORGHUM - OPERATIONS WITH SALES,3
GEORGIA,13,CRISP,81,,"SORGHUM - SALES, MEASURED IN $","50,000"
GEORGIA,13,IRWIN,155,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,IRWIN,155,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,JEFF DAVIS,161,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,JEFF DAVIS,161,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,LOWNDES,185,,SORGHUM - OPERATIONS WITH SALES,3
GEORGIA,13,LOWNDES,185,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,TELFAIR,271,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,TELFAIR,271,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,TIFT,277,,SORGHUM - OPERATIONS WITH SALES,3
GEORGIA,13,TIFT,277,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,TURNER,287,,SORGHUM - OPERATIONS WITH SALES,4
GEORGIA,13,TURNER,287,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,WILCOX,315,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,WILCOX,315,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,WORTH,321,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,WORTH,321,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,APPLING,1,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,APPLING,1,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,TATTNALL,267,,SORGHUM - OPERATIONS WITH SALES,2
GEORGIA,13,TATTNALL,267,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,TOOMBS,279,,SORGHUM - OPERATIONS WITH SALES,1
GEORGIA,13,TOOMBS,279,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,BAKER,7,,SORGHUM - OPERATIONS WITH SALES,3
GEORGIA,13,BAKER,7,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,CALHOUN,37,,SORGHUM - OPERATIONS WITH SALES,5
GEORGIA,13,CALHOUN,37,,"SORGHUM - SALES, MEASURED IN $","239,000"
GEORGIA,13,DECATUR,87,,SORGHUM - OPERATIONS WITH SALES,3
GEORGIA,13,DECATUR,87,,"SORGHUM - SALES, MEASURED IN $",0
GEORGIA,13,DOUGHERTY,95,,SORGHUM - OPERATIONS WITH SALES,1
